Account,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,fear_vs_greed_diff
0x083384f897ee0f19899168e3b1bec365f52a9012,3372.1411200270272,1059.3468577687916,512.8576193469388,1808.6226809607842,-163.74933294308943,-749.2758231919927
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-68.30892017741934,-1.0551760820610685,-30.287005393401017,18.08266880625752,74.91364482142858,-19.13784488831859
0x271b280974205ca63b716753467d5a371de622ab,54.59766311111112,39.84379694444444,-81.01421515319149,-326.86211233333336,448.29005374999997,366.7059092777778
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-92.3237851942446,19.94431628380386,12.456446524886879,21.661522202083333,27.420655152069056,-1.7172059182794719
0x2c229d22b100a7beb69122eed721cee9b24011dd,148.24997125974025,14.903336224719101,62.3788245958702,120.21361047305389,104.35711872560275,-105.31027424833479
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-304.64077953475936,-2.4199942797927463,-39.64216464516129,-43.60481461728395,397.3356637307692,41.1848203374912
0x39cef799f8b69da1995852eea189df24eb5cae3c,-72.07142370198675,108.50202600992064,96.9313978761062,365.2331122413793,225.099763515625,-256.7310862314586
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,5.818598105263158,86.86855732653062,8019.163096,326.1397217692308,485.13361961842105,-239.27116444270018
0x420ab45e0bd8863569a5efbb9c05d91f40624641,3153.6940959999997,2847.093667114286,2971.7465402000003,6041.475,160.7847436,-3194.3813328857145
0x430f09841d65beb3f27765503d0f850b8bce7713,,233.96050424999999,867.0791136764706,462.765227101626,8285.663251666667,-228.80472285162602
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-76.05990847120418,23.308821044289044,11.678961414492754,25.606781039215686,52.97318853464567,-2.297959994926643
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,536.0012845209003,495.46197472120207,192.45077259090908,133.6931805631068,213.50056439583332,361.76879415809526
0x4f93fead39b70a1824f981a54d4e55b278e9f760,467.5883434339623,-40.09676742976939,79.29324602961672,93.07829386690224,145.18841175280897,-133.17506129667163
0x513b8629fe877bb581bf244e326a047b249c4ff1,-453.0052274140127,142.53346930279503,264.2622966389466,124.84507269984687,,17.68839660294816
0x6d6a4b953f202f8df5bed40692e7fd865318264a,44.288230695652175,24.88242752439024,54.70090969565217,247.5688609672131,478.37958916339863,-222.68643344282287
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,108.91025641025641,-373.20354013461537,,1686.2279486096656,,-2059.431488744281
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1063.6393668983958,473.81752327868855,-905.3396938,351.2952833333333,573.585288,122.52223994535524
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,88.22281118556701,32.95345504873164,-2.17707307518797,42.82919383705357,61.364838459231215,-9.875738788321932
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,8.117939879093198,14.064642226480835,-23.238586941176475,153.98390881818185,1260.832586,-139.91926659170102
0x8170715b3b381dffb7062c0298972d4727a0a63b,231.1544205636364,249.2466768682043,134.49282696045196,-279.14875832093026,-546.7403794571429,528.3954351891346
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-193.01985432,13.600806842105262,25.01951729343629,393.85456068965516,1.673953714285716,-380.2537538475499
0x8477e447846c758f5a675856001ea72298fd9cb5,10.624609497005988,15.923774910958905,0.8581132876857751,-7.140980133095662,37.380940702,23.064755044054568
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,103.81699848484848,-88.79215142857143,,143.80489632696896,146.6980939561201,-232.5970477555404
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,16.310628112903228,17.40843788021534,5.184568256845564,25.070626820714285,31.236109661437908,-7.662188940498943
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-240.26212675,-1286.147208769231,-26.815676999999997,428.8331139514563,348.95689556390977,-1714.9803227206871
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,103.73513166666667,189.05443393023253,,502.21519552631577,199.29060211428572,-313.16076159608326
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,,70.25460354589373,357.88417895,21.60025,15.24474,48.65435354589373
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,23.982176216080404,94.20137649848333,261.43937113550487,216.74441409496754,1237.743403331467,-122.54303759648421
0xb899e522b5715391ae1d4f137653e7906c5e2115,-40.026273274698795,31.46217815642118,23.916362666666664,,,
0xbaaaf6571ab7d571043ff1e313a9609a10637864,154.06939870117645,98.8178220346968,28.527488874191942,1.557486,,97.2603360346968
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220.54107256725143,338.2824681957143,-606.0574075033556,302.58203855,106.19579947368418,35.70042964571428
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,10.692874262682418,8.696410899487338,6.31795961416589,55.01797313291139,105.9317407488938,-46.32156223342405
